ad_duration,cost,impressions,budget,publisher,country,market,creative_type
31,19.29,4551,108.695652173913,Facebook / Instagram,CA,BC,Video
31,12.05,3037,108.695652173913,Facebook / Instagram,CA,BC,Video
31,13.31,3110,108.695652173913,Facebook / Instagram,CA,BC,Video
31,17.84,4808,108.695652173913,Facebook / Instagram,CA,BC,Video
31,41.2,10993,108.695652173913,Facebook / Instagram,CA,BC,Video
31,27.16,6697,108.695652173913,Facebook / Instagram,CA,BC,Video
31,11.37,3106,108.695652173913,Facebook / Instagram,CA,BC,Video
31,23.52,5626,108.695652173913,Facebook / Instagram,CA,BC,Video
31,56.86,15673,108.695652173913,Facebook / Instagram,CA,BC,Video
31,45.29,9560,108.695652173913,Facebook / Instagram,CA,BC,Video
31,62.51,15026,108.695652173913,Facebook / Instagram,CA,BC,Video
31,87.09,18300,108.695652173913,Facebook / Instagram,CA,BC,Video
31,129.46,26873,108.695652173913,Facebook / Instagram,CA,BC,Video
31,32.24,7227,108.695652173913,Facebook / Instagram,CA,BC,Video
31,148.37,32583,108.695652173913,Facebook / Instagram,CA,BC,Video
31,96.75,21219,108.695652173913,Facebook / Instagram,CA,BC,Video
31,65.79,14195,108.695652173913,Facebook / Instagram,CA,BC,Video
31,76.83,17049,108.695652173913,Facebook / Instagram,CA,BC,Video
31,280.34,60270,108.695652173913,Facebook / Instagram,CA,BC,Video
31,191.23,35412,108.695652173913,Facebook / Instagram,CA,BC,Video
31,41.87,10461,108.695652173913,Facebook / Instagram,CA,BC,Video
31,84.33,23025,108.695652173913,Facebook / Instagram,CA,BC,Video
31,65.78,18919,108.695652173913,Facebook / Instagram,CA,BC,Video
31,117.47,30586,108.695652173913,Facebook / Instagram,CA,BC,Video
31,69.93,18854,108.695652173913,Facebook / Instagram,CA,BC,Video
31,63.64,18128,108.695652173913,Facebook / Instagram,CA,BC,Video
31,80.83,20697,108.695652173913,Facebook / Instagram,CA,BC,Video
31,77.78,20501,108.695652173913,Facebook / Instagram,CA,BC,Video
31,46.95,13792,108.695652173913,Facebook / Instagram,CA,BC,Video
31,162.11,39246,108.695652173913,Facebook / Instagram,CA,BC,Video
31,192.31,47957,108.695652173913,Facebook / Instagram,CA,BC,Video
31,166.39,39376,108.695652173913,Facebook / Instagram,CA,BC,Video
